id	title	price	location	type	beds	baths	area	description	amenities	image	gallery	developer	devprojects	devyears	devdelivered	devrating	status	handover	pricenumeric	annualrent	servicecharges	appreciation	goldenvisa	unitsleft	amenitiestext	commutes	nearbyamenities	areagrowth	occupancy	popgrowth	avgdaystorent	viewedtoday	bookedthisweek
1	5 BR Villa â€” The Heights	10,900,000 AED	Dubai South	Villa	5	5	5884	The Heights Country Club & Wellness is a luxury community blending modern design, wellness, and serene nature.	Wellness club & spa;Resort-style pools;Jogging & cycling tracks;Yoga decks;Retail & dining	https://www.binayah.com/wp-content/uploads/2024/05/The-Heights-Country-Club-Wellness-at-Dubailand-by-Emaar.jpg	https://www.binayah.com/wp-content/uploads/2024/05/The-Heights-Country-Club-Wellness-at-Dubailand-by-Emaar.jpg;https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=400&h=300&fit=crop	Emaar Properties	80	27	108,000+	A+	Off-Plan	Q3 2030	10900000	500000	106000	8	true	12	Wellness club & spa, Resort-style pools, Jogging & cycling tracks, Yoga decks, Retail & dining	ğŸ¢|DIFC|35 km|35 min;âœˆï¸|Al Maktoum Intl|15 km|18 min;ğŸš‡|Expo Metro|8 km|12 min;ğŸŒ³|Expo Park|6 km|8 min	ğŸ«|Greenfield Intl School|5 km;ğŸ›’|Ibn Battuta Mall|12 km;ğŸ¥|Mediclinic Parkview|18 km;ğŸŒ³|Expo Park|6 km	6.1;9.3;14.5;18.2;11.8	82	+18%	18	22	5
2	4 BR Villa â€” Valley Ovelle	7,100,888 AED	Dubailand	Villa	4	6	5798	Ovelle is a nature-inspired valley community blending contemporary living with culture, wellness, and serene outdoor beauty.	Golden Beach;Town Centre;Kid's Dale;Wellness Centre;Sports Village;Gym & Padel;Pool;Restaurants;Spa	https://homes4life.ae/wp-content/uploads/2025/11/OVELLE_TV_BR25-_1_.webp	https://homes4life.ae/wp-content/uploads/2025/11/OVELLE_TV_BR25-_1_.webp;https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=400&h=300&fit=crop	Emaar Properties	80	27	108,000+	A+	Off-Plan	Q2 2028	7100888	380000	93000	10	true	8	Golden Beach, Town Centre, Kid's Dale, Wellness Centre, Sports Village, Gym & Padel, Pool, Restaurants, Spa	ğŸ¢|DIFC|30 km|30 min;âœˆï¸|DXB Airport|30 km|35 min;ğŸš‡|Global Village (future)|10 km|15 min;ğŸ–|Golden Beach|On-site|Walk	ğŸ«|The Aquila School|15 km;ğŸ›’|Dubai Outlet Mall|10 km;ğŸ¥|Mediclinic Parkview|20 km;ğŸŒŠ|Golden Beach (47K sqm)|On-site	4.5;8.2;13.5;16.0;10.5	85	+16%	16	15	4
3	2 BR â€” Montiva by Vida Branded	2,800,000 AED	Creek Harbour	Apartment	2	2	1143	Montiva at Dubai Creek Harbour redefines contemporary living with tranquil waterfront residences surrounded by lush greenery and iconic skyline views.	Pools;Parks;Cycling tracks;Play areas;Waterfront promenades;Dubai Creek Tower & Island Park access	https://d3h330vgpwpjr8.cloudfront.net/x/1392x/Modern_Creekside_Living_at_Montiva_by_Vida_7f6f04350a.webp	https://d3h330vgpwpjr8.cloudfront.net/x/1392x/Modern_Creekside_Living_at_Montiva_by_Vida_7f6f04350a.webp;https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=400&h=300&fit=crop	Emaar Properties	80	27	108,000+	A+	Off-Plan	Q3 2029	2800000	175000	25000	8	true	20	Pools, parks, cycling tracks, play areas, waterfront promenades, Dubai Creek Tower & Island Park access	ğŸ¢|DIFC|10 km|12 min;âœˆï¸|DXB Airport|10 km|15 min;ğŸš‡|Creek Metro (planned)|1 km|5 min;ğŸŒ¿|Ras Al Khor Sanctuary|1.5 km|5 min	ğŸ«|Hartland International|3 km;ğŸ›’|Festival City Mall|8 km;ğŸ¥|Mediclinic Creek Harbour|2 km;ğŸŒ³|Creek Park|1.5 km	3.8;6.5;9.8;11.0;8.5	92	+10%	10	28	6
4	4 BR Villa â€” Nad Al Sheba Gardens	13,632,000 AED	Nad Al Sheba	Villa	4	5	4795	Nad Al Sheba Gardens is a premium Meraas gated community featuring contemporary villas and townhouses centered around wellness-focused greenery and swimmable lagoons.	Swimmable lagoon;Beach-like shores;Wave pool;Tennis & basketball courts	https://meraas.com/sites/default/files/2024-05/NASG%20Top%20Gallery%20image%202%20-%20%20Convenient%20location%20880x860.jpg	https://meraas.com/sites/default/files/2024-05/NASG%20Top%20Gallery%20image%202%20-%20%20Convenient%20location%20880x860.jpg;https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=400&h=300&fit=crop	Meraas	30	17	15,000+	A+	Off-Plan	Q3 2028	13632000	600000	96000	7	true	5	Swimmable lagoon, beach-like shores, wave pool, tennis & basketball courts	ğŸ¢|Downtown Dubai|12 km|10 min;âœˆï¸|DXB Airport|16 km|20 min;ğŸš‡|Meydan Metro (planned)|5 km|10 min;ğŸ‡|Meydan Racecourse|3 km|5 min	ğŸ«|Kent College Dubai|2 km;ğŸ›’|Meydan One Mall|5 km;ğŸ¥|King's College Hospital|8 km;ğŸŠ|Lagoon & Wave Pool|On-site	3.5;5.8;8.5;10.2;7.8	90	+8%	12	14	3
5	3 BR Townhouse â€” The Watercrest	7,435,828 AED	Mohammed Bin Rashid City	Townhouse	3	4	3846	The Watercrest featuring contemporary architecture and meticulously crafted interiors with premium finishes and thoughtful layouts designed for understated, design-focused living.	Infinity pool;Kids play area;Club lounge;Yoga studio;Outdoor cinema;Arcade room;Dog park;Gated community	https://ellingtonproperties.ae/wp-content/uploads/The-Watercrest-MainSection_top-scaled.jpg	https://ellingtonproperties.ae/wp-content/uploads/The-Watercrest-MainSection_top-scaled.jpg;https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=400&h=300&fit=crop	Ellington Properties	25	10	5,000+	A	Off-Plan	Q4 2027	7435828	400000	85000	7	true	6	Infinity pool, Kids play area, Club lounge, Yoga studio, Outdoor cinema, Arcade room, Dog park, Gated community	ğŸ¢|DIFC|12 km|15 min;âœˆï¸|DXB Airport|20 km|25 min;ğŸš‡|Meydan Metro (planned)|4 km|8 min;ğŸŒŠ|Crystal Lagoon|0.5 km|Walk	ğŸ«|Kent College Dubai|1 km;ğŸ›’|Meydan One Mall|3 km;ğŸ¥|Nad Al Sheba Health|5 km;ğŸŒŠ|Crystal Lagoon MBR|0.5 km	4.2;7.8;12.1;15.3;9.6	89	+12%	14	18	3
6	3 BR Apartment â€” Terra Woods	3,500,000 AED	Expo Living	Apartment	3	3	1667	Terra Woods at Expo Living offers futuristic residences surrounded by lush greenery, steps from Expo City and Al Maktoum International.	Yoga Lawn;Outdoor Gym;Padel Court;Sports Courts;BBQ Courtyard;Meditation Garden;Adult & Kids Pool	https://dubaipropertiesinfomation.wordpress.com/wp-content/uploads/2026/01/gemini_generated_image_yk4blhyk4blhyk4b.png?w=780	https://dubaipropertiesinfomation.wordpress.com/wp-content/uploads/2026/01/gemini_generated_image_yk4blhyk4blhyk4b.png?w=780;https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=400&h=300&fit=crop	Emaar Properties	80	27	108,000+	A+	Off-Plan	Q1 2030	3500000	180000	30000	10	true	35	Yoga Lawn, Outdoor Gym, Padel Court, Sports Courts, BBQ Courtyard, Meditation Garden, Adult & Kids Pool	ğŸ¢|DIFC|30 km|30 min;âœˆï¸|Al Maktoum Intl|10 km|15 min;ğŸš‡|Expo Metro|1.2 km|Walk;ğŸ¡|Expo City|1.2 km|Walk	ğŸ«|Greenfield Intl School|3 km;ğŸ›’|Expo Mall (upcoming)|1 km;ğŸ¥|NMC Hospital Jebel Ali|10 km;ğŸŒ³|Expo Park / Al Forsan|1.2 km	6.5;10.2;15.8;19.5;12.0	80	+20%	16	12	4
7	2.5 BR â€” Vincitore Wellness Estate	2,221,000 AED	Majan	Apartment	2	3	1387	The world's first 7-star wellness residential tower, blending Victorian biophilic architecture with over 200,000 sq. ft. of nature-infused amenities.	Indoor-Outdoor Sky Pool;Lazy River & Waterfall;Rain Shower;Sky Lounge;Sports Court;Floating Cinema	https://vincitorerealty.com/vincitore-wellness-estate/assets/images/updated/crown-jewel.webp	https://vincitorerealty.com/vincitore-wellness-estate/assets/images/updated/crown-jewel.webp;https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=400&h=300&fit=crop	Vincitore Real Estate	5	12	3,000+	B+	Off-Plan	Q4 2029	2221000	140000	22000	8	true	40	Indoor-Outdoor Sky Pool, Lazy River & Waterfall, Rain Shower, Sky Lounge, Sports Court, Floating Cinema	ğŸ¢|DIFC|25 km|25 min;âœˆï¸|DXB Airport|20 km|20 min;ğŸš‡|Gold Metro (future)|3 km|4 min;ğŸ¢|IMG Worlds / Global Village|6 km|10 min	ğŸ«|Dunecrest American School|0.9 km;ğŸ›’|Cityland Mall|5 km;ğŸ¥|Aster Clinic|8 km;ğŸŒ¿|Al Barari Green Spaces|2 km	4.8;7.5;11.2;14.8;9.5	85	+15%	14	10	3
8	4 BR Villa â€” The Oasis	13,160,000 AED	Dubailand	Villa	4	5	7287	The Oasis by Emaar is an ultra-luxury villa community set around serene lagoons and lush greenery, offering refined, private living.	Luxury Country Club;Wellness Centre;Fitness;Cycling & Jogging Tracks;Parks & Greenways;Event Plazas;Yoga	https://cdn.properties.emaar.com/wp-content/uploads/2025/12/HOMEPAGE_BANNER_1920x1080-706x385.jpg	https://cdn.properties.emaar.com/wp-content/uploads/2025/12/HOMEPAGE_BANNER_1920x1080-706x385.jpg;https://images.unsplash.com/photo-1613490493576-7fde63acd811?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1512917774080-9991f1c4c750?w=400&h=300&fit=crop	Emaar Properties	80	27	108,000+	A+	Off-Plan	Q2 2029	13160000	550000	131000	8	true	15	Luxury Country Club, Wellness Centre, Fitness, Cycling & Jogging Tracks, Parks & Greenways, Event Plazas, Yoga	ğŸ¢|DIFC|25 km|25 min;âœˆï¸|DXB Airport|30 km|35 min;ğŸš‡|Business Bay Metro|15 km|20 min;ğŸŒŠ|Oasis Lagoon & Canals|On-site|Walk	ğŸ«|GEMS / Aquila School|10 km;ğŸ›’|Cityland / Global Village|8 km;ğŸ¥|Mediclinic Parkview|15 km;ğŸŠ|Oasis Lagoon & Canals|On-site	4.0;7.2;11.8;15.0;10.0	84	+14%	16	20	4
9	2 BR â€” Meriva Gardens Beachfront	4,999,000 AED	Dubai Islands	Apartment	2	2	1272	A pedestrianised enclave where layered architecture, flowing water and open landscapes come together, with a gentle pace guided by calm nature and thoughtful design.	Lagoon water features;Spinning Zone;Climbing wall;Podcast room;Jazz Dining & Lounge;Games room	https://tohidfetrat.com/wp-content/uploads/2026/02/the-meriva-collection-beachfront-architecture-evening-view-dubai-tohid-fetrat.webp	https://tohidfetrat.com/wp-content/uploads/2026/02/the-meriva-collection-beachfront-architecture-evening-view-dubai-tohid-fetrat.webp;https://images.unsplash.com/photo-1545324418-cc1a3fa10c00?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1560448204-e02f11c3d0e2?w=400&h=300&fit=crop	Ellington Properties	25	10	5,000+	A	Off-Plan	Q2 2030	4999000	250000	32000	10	true	15	Lagoon water features, Spinning Zone, Climbing wall, Podcast room, Jazz Dining & Lounge, Games room	ğŸ¢|DIFC|15 km|18 min;âœˆï¸|DXB Airport|12 km|15 min;ğŸš‡|Gold Souq Green Line|5 km|10 min;ğŸ–|Dubai Islands Beach|0.2 km|Walk	ğŸ«|International Schools|5 km;ğŸ›’|Festival City Mall|10 km;ğŸ¥|Dubai Hospital|12 km;ğŸ–|Private Beach Access|0.2 km	5.0;8.5;14.0;18.5;12.5	80	+20%	18	10	2
10	2 BR â€” Rove Home Meydan	2,400,000 AED	Meydan	Apartment	2	2	942	Rove Home Meydan Horizon is a premium waterfront development by Al Ain Holding offering fully furnished branded residences.	Outdoor cinema & gaming;Entertainment;Rove Connect;Fitness centre;Cabanas;Co-working space & terrace	https://investindxb.com/wp-content/uploads/2025/12/ROVE-MEYDAN-HORIZON-RESIDENCES-DUBAI-investindxb-9.51.17-PM-scaled.png	https://investindxb.com/wp-content/uploads/2025/12/ROVE-MEYDAN-HORIZON-RESIDENCES-DUBAI-investindxb-9.51.17-PM-scaled.png;https://images.unsplash.com/photo-1502672260266-1c1ef2d93688?w=400&h=300&fit=crop;https://images.unsplash.com/photo-1522708323590-d24dbb6b0267?w=400&h=300&fit=crop	ALAIN Properties (OCTA Broker)	10	8	3,000+	A	Off-Plan	Q1 2029	2400000	155000	23000	9	true	20	Outdoor cinema & gaming, Entertainment, Rove Connect, Fitness centre, Cabanas, Co-working space & terrace	ğŸ¢|DIFC|10 km|12 min;âœˆï¸|DXB Airport|15 km|18 min;ğŸš‡|Meydan Metro (planned)|3 km|6 min;ğŸŒŠ|Crystal Lagoon|0.3 km|Walk	ğŸ«|N. London Collegiate|1.7 km;ğŸ›’|Meydan One Mall|3 km;ğŸ¥|Mediclinic Meydan|4 km;ğŸŒŠ|Meydan Crystal Lagoon|0.3 km	4.5;7.8;12.5;16.0;10.5	88	+15%	11	16	4
